site_name,local_time,sample_value,local_day,hour,minute,hour_minute
A07_M2-9,00:28,20.5,2024-06-24,0,28,00:28
A07_M2-9,00:28,18.9,2024-06-25,0,28,00:28
A07_M2-9,01:58,14.1,2024-06-28,1,58,01:58
A07_M2-9,02:18,11.8,2024-06-26,2,18,02:18
A07_M2-9,02:28,12.8,2024-06-24,2,28,02:28
A07_M2-9,02:48,12.0,2024-06-24,2,48,02:48
A07_M2-9,03:18,10.2,2024-06-27,3,18,03:18
A07_M2-9,04:48,10.0,2024-06-24,4,48,04:48
A07_M2-9,04:48,8.7,2024-06-27,4,48,04:48
A07_M2-9,05:08,8.7,2024-06-28,5,8,05:08
A07_M2-9,05:28,10.2,2024-06-24,5,28,05:28
A07_M2-9,05:28,8.9,2024-06-27,5,28,05:28
A07_M2-9,06:08,11.8,2024-06-25,6,8,06:08
A07_M2-9,06:08,10.5,2024-06-28,6,8,06:08
A07_M2-9,06:28,12.8,2024-06-26,6,28,06:28
A07_M2-9,06:38,15.9,2024-06-24,6,38,06:38
A07_M2-9,06:48,15.4,2024-06-28,6,48,06:48
A07_M2-9,06:58,18.9,2024-06-24,6,58,06:58
A07_M2-9,07:08,20.4,2024-06-24,7,8,07:08
A07_M2-9,07:28,22.5,2024-06-27,7,28,07:28
A07_M2-9,07:48,27.8,2024-06-24,7,48,07:48
A07_M2-9,07:48,26.6,2024-06-27,7,48,07:48
A07_M2-9,07:58,29.4,2024-06-24,7,58,07:58
A07_M2-9,07:58,28.4,2024-06-28,7,58,07:58
A07_M2-9,08:38,31.1,2024-06-25,8,38,08:38
A07_M2-9,08:48,29.4,2024-06-24,8,48,08:48
A07_M2-9,08:58,29.8,2024-06-24,8,58,08:58
A07_M2-9,09:58,24.0,2024-06-25,9,58,09:58
A07_M2-9,09:58,25.6,2024-06-27,9,58,09:58
A07_M2-9,10:48,24.5,2024-06-27,10,48,10:48
A07_M2-9,11:08,22.5,2024-06-25,11,8,11:08
A07_M2-9,11:08,24.0,2024-06-27,11,8,11:08
A07_M2-9,11:18,21.7,2024-06-25,11,18,11:18
A07_M2-9,11:18,23.3,2024-06-26,11,18,11:18
A07_M2-9,11:28,23.7,2024-06-24,11,28,11:28
A07_M2-9,12:08,23.7,2024-06-24,12,8,12:08
A07_M2-9,12:28,23.3,2024-06-24,12,28,12:28
A07_M2-9,12:38,21.5,2024-06-28,12,38,12:38
A07_M2-9,13:38,25.5,2024-06-27,13,38,13:38
A07_M2-9,13:58,25.8,2024-06-27,13,58,13:58
A07_M2-9,14:28,21.7,2024-06-25,14,28,14:28
A07_M2-9,14:28,23.5,2024-06-27,14,28,14:28
A07_M2-9,14:48,20.4,2024-06-25,14,48,14:48
A07_M2-9,16:48,18.9,2024-06-27,16,48,16:48
A07_M2-9,17:28,22.4,2024-06-28,17,28,17:28
A07_M2-9,17:58,22.2,2024-06-24,17,58,17:58
A07_M2-9,17:58,23.5,2024-06-28,17,58,17:58
A07_M2-9,18:38,23.5,2024-06-25,18,38,18:38
A07_M2-9,18:38,24.3,2024-06-26,18,38,18:38
A07_M2-9,18:48,26.0,2024-06-26,18,48,18:48
A07_M2-9,19:58,27.9,2024-06-24,19,58,19:58
A07_M2-9,20:38,28.9,2024-06-24,20,38,20:38
A07_M2-9,20:48,28.8,2024-06-24,20,48,20:48
A07_M2-9,20:58,27.9,2024-06-28,20,58,20:58
A07_M2-9,21:18,29.1,2024-06-24,21,18,21:18
A07_M2-9,21:18,27.9,2024-06-28,21,18,21:18
A07_M2-9,21:28,27.9,2024-06-28,21,28,21:28
A07_M2-9,21:38,29.9,2024-06-25,21,38,21:38
A07_M2-9,21:38,27.8,2024-06-28,21,38,21:38
A07_M2-9,21:48,27.6,2024-06-28,21,48,21:48
A07_M2-9,21:58,27.8,2024-06-28,21,58,21:58
A07_M2-9,22:28,27.3,2024-06-28,22,28,22:28
A07_M2-9,22:48,26.6,2024-06-28,22,48,22:48
A07_M2-9,23:48,23.7,2024-06-27,23,48,23:48
A07_M2-9,23:58,23.5,2024-06-28,23,58,23:58
