min,max,mean,median
21.5,21.5,21.5,21.5
21.2,21.2,21.2,21.2
19.9,19.9,19.9,19.9
19.1,19.1,19.1,19.1
17.9,17.9,17.9,17.9
17.4,17.4,17.4,17.4
16.9,16.9,16.9,16.9
15.9,15.9,15.9,15.9
15.1,15.1,15.1,15.1
15.1,15.1,15.1,15.1
13.8,13.8,13.8,13.8
12.8,12.8,12.8,12.8
12.8,12.8,12.8,12.8
12.5,12.5,12.5,12.5
11.8,11.8,11.8,11.8
11.7,11.7,11.7,11.7
11.3,11.3,11.3,11.3
11.0,11.0,11.0,11.0
10.2,10.2,10.2,10.2
10.2,10.2,10.2,10.2
10.0,10.0,10.0,10.0
9.7,9.7,9.7,9.7
10.2,10.2,10.2,10.2
9.9,9.9,9.9,9.9
9.7,9.7,9.7,9.7
9.2,9.2,9.2,9.2
9.7,9.7,9.7,9.7
9.2,9.2,9.2,9.2
8.7,8.7,8.7,8.7
9.2,9.2,9.2,9.2
9.5,9.5,9.5,9.5
8.9,8.9,8.9,8.9
8.9,8.9,8.9,8.9
9.7,9.7,9.7,9.7
9.7,9.7,9.7,9.7
10.0,10.0,10.0,10.0
11.5,11.5,11.5,11.5
12.0,12.0,12.0,12.0
13.3,13.3,13.3,13.3
14.6,14.6,14.6,14.6
16.4,16.4,16.4,16.4
17.4,17.4,17.4,17.4
19.7,19.7,19.7,19.7
20.9,20.9,20.9,20.9
22.5,22.5,22.5,22.5
25.3,25.3,25.3,25.3
26.6,26.6,26.6,26.6
28.6,28.6,28.6,28.6
29.9,29.9,29.9,29.9
30.4,30.4,30.4,30.4
29.6,29.6,29.6,29.6
29.8,29.8,29.8,29.8
29.9,29.9,29.9,29.9
29.1,29.1,29.1,29.1
28.6,28.6,28.6,28.6
27.0,27.0,27.0,27.0
26.8,26.8,26.8,26.8
25.8,25.8,25.8,25.8
25.8,25.8,25.8,25.8
25.6,25.6,25.6,25.6
25.0,25.0,25.0,25.0
25.0,25.0,25.0,25.0
25.0,25.0,25.0,25.0
24.8,24.8,24.8,24.8
24.5,24.5,24.5,24.5
24.2,24.2,24.2,24.2
24.0,24.0,24.0,24.0
22.5,22.5,22.5,22.5
21.9,21.9,21.9,21.9
21.5,21.5,21.5,21.5
21.7,21.7,21.7,21.7
22.0,22.0,22.0,22.0
21.7,21.7,21.7,21.7
21.7,21.7,21.7,21.7
21.9,21.9,21.9,21.9
22.0,22.0,22.0,22.0
21.7,21.7,21.7,21.7
22.2,22.2,22.2,22.2
22.0,22.0,22.0,22.0
23.2,23.2,23.2,23.2
22.5,22.5,22.5,22.5
25.5,25.5,25.5,25.5
24.5,24.5,24.5,24.5
25.8,25.8,25.8,25.8
24.0,24.0,24.0,24.0
24.0,24.0,24.0,24.0
23.5,23.5,23.5,23.5
23.0,23.0,23.0,23.0
22.8,22.8,22.8,22.8
21.2,21.2,21.2,21.2
20.2,20.2,20.2,20.2
19.7,19.7,19.7,19.7
19.9,19.9,19.9,19.9
19.4,19.4,19.4,19.4
19.4,19.4,19.4,19.4
19.7,19.7,19.7,19.7
19.4,19.4,19.4,19.4
19.7,19.7,19.7,19.7
18.9,18.9,18.9,18.9
19.2,19.2,19.2,19.2
18.9,18.9,18.9,18.9
19.6,19.6,19.6,19.6
20.2,20.2,20.2,20.2
20.5,20.5,20.5,20.5
21.0,21.0,21.0,21.0
21.0,21.0,21.0,21.0
21.9,21.9,21.9,21.9
22.7,22.7,22.7,22.7
22.0,22.0,22.0,22.0
23.0,23.0,23.0,23.0
23.0,23.0,23.0,23.0
23.8,23.8,23.8,23.8
23.7,23.7,23.7,23.7
25.3,25.3,25.3,25.3
25.8,25.8,25.8,25.8
25.3,25.3,25.3,25.3
25.6,25.6,25.6,25.6
26.3,26.3,26.3,26.3
26.1,26.1,26.1,26.1
26.8,26.8,26.8,26.8
27.3,27.3,27.3,27.3
27.5,27.5,27.5,27.5
27.9,27.9,27.9,27.9
28.1,28.1,28.1,28.1
27.8,27.8,27.8,27.8
28.4,28.4,28.4,28.4
28.6,28.6,28.6,28.6
28.8,28.8,28.8,28.8
29.3,29.3,29.3,29.3
29.1,29.1,29.1,29.1
29.6,29.6,29.6,29.6
29.6,29.6,29.6,29.6
28.6,28.6,28.6,28.6
28.8,28.8,28.8,28.8
28.6,28.6,28.6,28.6
28.8,28.8,28.8,28.8
28.1,28.1,28.1,28.1
27.1,27.1,27.1,27.1
26.5,26.5,26.5,26.5
26.0,26.0,26.0,26.0
25.6,25.6,25.6,25.6
23.8,23.8,23.8,23.8
23.7,23.7,23.7,23.7
22.4,22.4,22.4,22.4
